"id"	"case_no"	"case_no_year"	"case_no_sequence"	"case_no_series"	"session_date"	"session_time"	"location"	"case_subject"	"judge_id"	"judge_name"	"cleark_id"	"clerk_name"	"handle_department"	"session_form"	"is_open"	"create_date"	"create_user_id"	"create_username"	"create_user_realname"	"revise_date"	"revise_user_id"	"revise_username"	"revise_user_realname"	"status"	"register_date"	"handle_person"	"courtroom_name"	"session_begin"	"session_end"	"memo"	"procedure_type"	"appliers"	"defenders"	"case_progress"	"appeal_date"	"appeal_result"	"mediate_date"	"mediate_result"	"sentence_date"	"sentence_result"	"regional_court"	"is_finish"	"regional_court_id"	"change_time"	"docUNID"	"sjy"	"sqrssdw"	"bsqrssdw"	"sasj"	"pqsj"	"ccbq"	"ysjasj"	"ysjafs"	"esjg"	"dqjd"	"xxly"	"is_deleted"	"SAAY"	"SXRQ"	"AJLB"
"23521719851513429"	"(2012)深南法行初字第00077号"	"2012"	"行初"	"77"	""	""	""	"诉（****行政主体）不履行（****）法定职责"	"4403030175"	"钟瑞荣"	"4403030279"	"童蕾"	"44030317"	""	""	"2014/3/31 18:27:49"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403030175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/3/31 18:27:49"	""	"4403030279"	""	""	"2012/11/6 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"5001"	" "	"6"
"23521823961797209"	"(2012)深宝法执字第08395号"	"2012"	"执"	"8395"	""	""	""	"合同"	"4403040011"	"陈柳绚"	"4403040459"	"王元熹"	"44030404"	""	""	"2014/2/13 17:06:08"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403040011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/2/13 17:06:08"	""	"4403040459"	""	""	"2012/11/6 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"3008"	" "	"8"
"23521829033517739"	"(2012)深宝法西劳初字第00129号"	"2012"	"西劳初"	"129"	""	""	""	"劳动争议"	"4403040113"	"刘定宏"	"4403040902"	"李华敏"	"44030440"	""	""	"2014/4/1 18:07:19"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403040113"	""	""	""	""	"09_03201-1"	""	""	""	""	""	""	""	""	""	"宝安法院"	""	"440304"	"2014/4/1 18:07:19"	""	"4403040902"	""	""	"2012/11/6 00:00:00"	""	""	"2013/4/1 00:00:00"	"09_03215-1"	""	"970"	"3"	"0"	"9462"	" "	"2"
"23521836435107659"	"(2012)深中法涉外仲字第00246号"	"2012"	"涉外仲"	"246"	""	""	""	"仲裁程序案件"	"4403000478"	"周洁"	"4403001153"	"王希"	"44030015"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403000478"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001153"	""	""	"2012/11/6 00:00:00"	""	""	"2013/6/20 00:00:00"	"09_06303-255"	""	"970"	"3"	"0"	"9812"	"20131212"	"2"
"23521837240335827"	"(2012)深中法民终字第02643号"	"2012"	"民终"	"2643"	""	""	""	"机动车交通事故责任纠纷"	"4403001370"	"陈少健"	"4403001329"	"吴贵松"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403001370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001329"	""	""	"2012/7/31 00:00:00"	""	""	"2013/3/21 00:00:00"	"09_03304-2"	""	"970"	"3"	"0"	"9722"	"20130408"	"2"
"23521837492067893"	"(2012)深中法民终字第02639号"	"2012"	"民终"	"2639"	""	""	""	"机动车交通事故责任纠纷"	"4403001370"	"陈少健"	"4403001329"	"吴贵松"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403001370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001329"	""	""	"2012/8/7 00:00:00"	""	""	"2013/3/21 00:00:00"	"09_03304-2"	""	"970"	"3"	"0"	"9722"	"20130408"	"2"
"23521844801438257"	"(2012)深中法涉外终字第00208号"	"2012"	"涉外终"	"208"	""	""	""	"购销合同"	"4403000192"	"梁乐乐"	"4403001153"	"王希"	"44030015"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/8 00:00:00"	"4403000192"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001153"	""	""	"2012/6/30 00:00:00"	""	""	"2013/9/18 00:00:00"	"09_03304-1"	""	"970"	"3"	"0"	"522"	"20131219"	"2"
"23521855551056559"	"(2012)深龙法执字第06173号"	"2012"	"执"	"6173"	""	""	""	"其他合同纠纷"	"4403050156"	"唐秀兰"	" "	"彭国民"	"440305042"	""	""	"2014/3/24 18:16:30"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403050156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"龙岗法院"	""	"440305"	"2014/3/24 18:16:30"	""	" "	""	""	"2012/11/6 00:00:00"	""	""	"2014/3/17 00:00:00"	"09_05021-5"	""	"970"	"3"	"0"	"3029"	" "	"8"
"23521881812258585"	"(2012)深南法民一初字第02067号"	"2012"	"民一初"	"2067"	""	""	""	"合同纠纷"	"4403030016"	"陈琪"	"4403031055"	"金吕"	"44030312"	""	""	"2014/3/28 18:04:37"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/6 00:00:00"	"4403030016"	""	""	""	""	"09_03201-2"	""	""	""	""	""	""	""	""	""	"南山法院"	""	"440303"	"2014/3/28 18:04:37"	""	"4403031055"	""	""	"2012/11/6 00:00:00"	""	""	""	" "	""	"500"	"3"	"0"	"9131"	" "	"2"
"23521890296352391"	"(2012)深中法民终字第02626号"	"2012"	"民终"	"2626"	""	""	""	"民间借贷纠纷"	"4403000365"	"谢冰羚"	"4403001045"	"王奇峰"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403000365"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001045"	""	""	"2012/8/13 00:00:00"	""	""	"2013/6/7 00:00:00"	"09_03304-1"	""	"970"	"3"	"0"	"9181"	"20131030"	"2"
"23521892483817152"	"(2012)深中法民终字第02625号"	"2012"	"民终"	"2625"	""	""	""	"买卖合同纠纷"	"4403000366"	"谢继宇"	"4403001045"	"王奇峰"	"44030033"	""	""	"2014/3/25 18:12:55"	""	""	""	""	""	""	""	"CMS_INFORMATION_STATUS_APPROVED"	"2012/11/7 00:00:00"	"4403000366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"中级法院"	""	"440300"	"2014/3/25 18:12:55"	""	"4403001045"	""	""	"2012/9/27 00:00:00"	""	""	"2013/2/1 00:00:00"	"09_03304-2"	""	"970"	"3"	"0"	"9142"	" "	"2"
